name,developer,publisher,popular_tags,game_details,genre,ID,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
Zuma Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.,PopCap Games, Inc.","Casual,Puzzle,Match 3,Singleplayer,Classic",Single-player,Casual,zumadeluxe,"CasualPopCap Games, Inc.,PopCap Games, Inc.PopCap Games, Inc.","CasualCasual,Puzzle,Match 3,Singleplayer,ClassicPopCap Games, Inc.","CasualCasual,Puzzle,Match 3,Singleplayer,ClassicSingle-player","CasualPopCap Games, Inc.,PopCap Games, Inc.PopCap Games, Inc.Single-player"
Never Alone (Kisima Ingitchuna),"Upper One Games,E-Line Media","E-Line Media,E-Line Media","Indie,Platformer,Local Co-Op,Atmospheric,Female Protagonist,Adventure,Story Rich,Puzzle,Casual,Cute,Local Multiplayer,Puzzle-Platformer,Side Scroller,Action,Great Soundtrack,Singleplayer,Co-op,Short,2.5D,Nature","Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Casual,Indie",neveralonekisimaingitchuna,"Action,Adventure,Casual,IndieE-Line Media,E-Line MediaUpper One Games,E-Line Media","Action,Adventure,Casual,IndieIndie,Platformer,Local Co-Op,Atmospheric,Female Protagonist,Adventure,Story Rich,Puzzle,Casual,Cute,Local Multiplayer,Puzzle-Platformer,Side Scroller,Action,Great Soundtrack,Singleplayer,Co-op,Short,2.5D,NatureUpper One Games,E-Line Media","Action,Adventure,Casual,IndieIndie,Platformer,Local Co-Op,Atmospheric,Female Protagonist,Adventure,Story Rich,Puzzle,Casual,Cute,Local Multiplayer,Puzzle-Platformer,Side Scroller,Action,Great Soundtrack,Singleplayer,Co-op,Short,2.5D,NatureSingle-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Casual,IndieE-Line Media,E-Line MediaUpper One Games,E-Line MediaSingle-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
The Political Machine 2016,Stardock Entertainment,"Stardock Entertainment,Stardock Entertainment","Strategy,Indie,Politics,Political,Simulation,Turn-Based,Multiplayer,Casual,Singleplayer,Management,Early Access,Funny,Turn-Based Strategy,Moddable,America,Memes,Satire,Psychological Horror,Horror","Single-player,Multi-player,Steam Achievements","Indie,Strategy",thepoliticalmachine2016,"Indie,StrategyStardock Entertainment,Stardock EntertainmentStardock Entertainment","Indie,StrategyStrategy,Indie,Politics,Political,Simulation,Turn-Based,Multiplayer,Casual,Singleplayer,Management,Early Access,Funny,Turn-Based Strategy,Moddable,America,Memes,Satire,Psychological Horror,HorrorStardock Entertainment","Indie,StrategyStrategy,Indie,Politics,Political,Simulation,Turn-Based,Multiplayer,Casual,Singleplayer,Management,Early Access,Funny,Turn-Based Strategy,Moddable,America,Memes,Satire,Psychological Horror,HorrorSingle-player,Multi-player,Steam Achievements","Indie,StrategyStardock Entertainment,Stardock EntertainmentStardock EntertainmentSingle-player,Multi-player,Steam Achievements"
Ultimate General: Gettysburg,Game-Labs,"Game-Labs,Game-Labs","Strategy,Historical,Simulation,RTS,Tactical,Indie,Wargame,War,Singleplayer,Multiplayer,Military","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Stats,Steam Leaderboards","Indie,Simulation,Strategy",ultimategeneralgettysburg,"Indie,Simulation,StrategyGame-Labs,Game-LabsGame-Labs","Indie,Simulation,StrategyStrategy,Historical,Simulation,RTS,Tactical,Indie,Wargame,War,Singleplayer,Multiplayer,MilitaryGame-Labs","Indie,Simulation,StrategyStrategy,Historical,Simulation,RTS,Tactical,Indie,Wargame,War,Singleplayer,Multiplayer,MilitarySingle-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Stats,Steam Leaderboards","Indie,Simulation,StrategyGame-Labs,Game-LabsGame-LabsSingle-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Stats,Steam Leaderboards"
Castle of Illusion,"SEGA Studios Australia,Feral Interactive (Mac)","SEGA,Feral Interactive (Mac),SEGA,Feral Interactive (Mac)","Platformer,Adventure,Remake,Casual,Family Friendly,Singleplayer,Classic,Great Soundtrack,Retro,Colorful,2.5D,2D,Short,Difficult","Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual",castleofillusion,"Adventure,CasualSEGA,Feral Interactive (Mac),SEGA,Feral Interactive (Mac)SEGA Studios Australia,Feral Interactive (Mac)","Adventure,CasualPlatformer,Adventure,Remake,Casual,Family Friendly,Singleplayer,Classic,Great Soundtrack,Retro,Colorful,2.5D,2D,Short,DifficultSEGA Studios Australia,Feral Interactive (Mac)","Adventure,CasualPlatformer,Adventure,Remake,Casual,Family Friendly,Singleplayer,Classic,Great Soundtrack,Retro,Colorful,2.5D,2D,Short,DifficultSingle-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,CasualSEGA,Feral Interactive (Mac),SEGA,Feral Interactive (Mac)SEGA Studios Australia,Feral Interactive (Mac)Single-player,Steam Achievements,Full controller support,Steam Cloud"
Lone Survivor: The Director's Cut,Jasper Byrne,"Superflat Games,Superflat Games","Horror,Indie,Survival Horror,Adventure,Pixel Graphics,Atmospheric,2D,Action,RPG,Great Soundtrack,Dark,Psychological Horror,Singleplayer,Zombies,Retro,Survival,Simulation,Side Scroller,Masterpiece,Exploration","Single-player,Steam Cloud","Action,Adventure,Indie,RPG,Simulation",lonesurvivorthedirectorscut,"Action,Adventure,Indie,RPG,SimulationSuperflat Games,Superflat GamesJasper Byrne","Action,Adventure,Indie,RPG,SimulationHorror,Indie,Survival Horror,Adventure,Pixel Graphics,Atmospheric,2D,Action,RPG,Great Soundtrack,Dark,Psychological Horror,Singleplayer,Zombies,Retro,Survival,Simulation,Side Scroller,Masterpiece,ExplorationJasper Byrne","Action,Adventure,Indie,RPG,SimulationHorror,Indie,Survival Horror,Adventure,Pixel Graphics,Atmospheric,2D,Action,RPG,Great Soundtrack,Dark,Psychological Horror,Singleplayer,Zombies,Retro,Survival,Simulation,Side Scroller,Masterpiece,ExplorationSingle-player,Steam Cloud","Action,Adventure,Indie,RPG,SimulationSuperflat Games,Superflat GamesJasper ByrneSingle-player,Steam Cloud"
Black Ice,Super Duper Garrett Cooper,"Super Duper Game Company,Super Duper Game Company","Early Access,Cyberpunk,RPG,Indie,FPS,Action,Early Access,Co-op,Online Co-Op,Hacking,Singleplayer,Multiplayer,First-Person,Rogue-like,PvP,Open World,Rogue-lite,Shooter,Great Soundtrack,Replay Value","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie,RPG,Early Access",blackice,"Action,Indie,RPG,Early AccessSuper Duper Game Company,Super Duper Game CompanySuper Duper Garrett Cooper","Action,Indie,RPG,Early AccessEarly Access,Cyberpunk,RPG,Indie,FPS,Action,Early Access,Co-op,Online Co-Op,Hacking,Singleplayer,Multiplayer,First-Person,Rogue-like,PvP,Open World,Rogue-lite,Shooter,Great Soundtrack,Replay ValueSuper Duper Garrett Cooper","Action,Indie,RPG,Early AccessEarly Access,Cyberpunk,RPG,Indie,FPS,Action,Early Access,Co-op,Online Co-Op,Hacking,Singleplayer,Multiplayer,First-Person,Rogue-like,PvP,Open World,Rogue-lite,Shooter,Great Soundtrack,Replay ValueSingle-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie,RPG,Early AccessSuper Duper Game Company,Super Duper Game CompanySuper Duper Garrett CooperSingle-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Azure Striker Gunvolt,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.,INTI CREATES CO., LTD.","Action,Platformer,Anime,2D,Indie,Pixel Graphics,Side Scroller,Great Soundtrack,Singleplayer,Metroidvania","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Indie",azurestrikergunvolt,"Action,IndieINTI CREATES CO., LTD.,INTI CREATES CO., LTD.INTI CREATES CO., LTD.","Action,IndieAction,Platformer,Anime,2D,Indie,Pixel Graphics,Side Scroller,Great Soundtrack,Singleplayer,MetroidvaniaINTI CREATES CO., LTD.","Action,IndieAction,Platformer,Anime,2D,Indie,Pixel Graphics,Side Scroller,Great Soundtrack,Singleplayer,MetroidvaniaSingle-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,IndieINTI CREATES CO., LTD.,INTI CREATES CO., LTD.INTI CREATES CO., LTD.Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards"
Syberia,Microids,"Microids,Microids","Adventure,Point & Click,Puzzle,Steampunk,Female Protagonist,Atmospheric,Story Rich,Classic,Mystery,Singleplayer,Masterpiece,Casual,Great Soundtrack,Beautiful,Third Person,Sci-fi,Hidden Object","Single-player,Steam Trading Cards","Adventure,Casual",syberia,"Adventure,CasualMicroids,MicroidsMicroids","Adventure,CasualAdventure,Point & Click,Puzzle,Steampunk,Female Protagonist,Atmospheric,Story Rich,Classic,Mystery,Singleplayer,Masterpiece,Casual,Great Soundtrack,Beautiful,Third Person,Sci-fi,Hidden ObjectMicroids","Adventure,CasualAdventure,Point & Click,Puzzle,Steampunk,Female Protagonist,Atmospheric,Story Rich,Classic,Mystery,Singleplayer,Masterpiece,Casual,Great Soundtrack,Beautiful,Third Person,Sci-fi,Hidden ObjectSingle-player,Steam Trading Cards","Adventure,CasualMicroids,MicroidsMicroidsSingle-player,Steam Trading Cards"
Styx: Master of Shadows,Cyanide Studio,"Focus Home Interactive,Focus Home Interactive","Stealth,Fantasy,Singleplayer,Adventure,Third Person,Action,RPG,Assassin,Parkour,Steampunk,Dark Fantasy,Atmospheric,Magic,Story Rich,Difficult,Open World,Great Soundtrack,Gore,Indie,Masterpiece","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,styxmasterofshadows,"ActionFocus Home Interactive,Focus Home InteractiveCyanide Studio","ActionStealth,Fantasy,Singleplayer,Adventure,Third Person,Action,RPG,Assassin,Parkour,Steampunk,Dark Fantasy,Atmospheric,Magic,Story Rich,Difficult,Open World,Great Soundtrack,Gore,Indie,MasterpieceCyanide Studio","ActionStealth,Fantasy,Singleplayer,Adventure,Third Person,Action,RPG,Assassin,Parkour,Steampunk,Dark Fantasy,Atmospheric,Magic,Story Rich,Difficult,Open World,Great Soundtrack,Gore,Indie,MasterpieceSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","ActionFocus Home Interactive,Focus Home InteractiveCyanide StudioSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Putt-Putt® Goes to the Moon,Humongous Entertainment,"Humongous Entertainment,Nightdive Studios,Humongous Entertainment,Nightdive Studios","Adventure,Casual,Point & Click,Family Friendly,Puzzle,Hidden Object,Story Rich,Pixel Graphics,Classic","Single-player,Steam Cloud","Adventure,Casual",puttputtgoestothemoon,"Adventure,CasualHumongous Entertainment,Nightdive Studios,Humongous Entertainment,Nightdive StudiosHumongous Entertainment","Adventure,CasualAdventure,Casual,Point & Click,Family Friendly,Puzzle,Hidden Object,Story Rich,Pixel Graphics,ClassicHumongous Entertainment","Adventure,CasualAdventure,Casual,Point & Click,Family Friendly,Puzzle,Hidden Object,Story Rich,Pixel Graphics,ClassicSingle-player,Steam Cloud","Adventure,CasualHumongous Entertainment,Nightdive Studios,Humongous Entertainment,Nightdive StudiosHumongous EntertainmentSingle-player,Steam Cloud"
GUILTY GEAR Xrd -SIGN-,Arc System Works,"Arc System Works,Arc System Works","Fighting,Anime,2D Fighter,Great Soundtrack,Action,Arcade,Multiplayer,e-sports,Singleplayer,Story Rich,2.5D,Competitive,Cute,Visual Novel","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",Action,guiltygearxrdsign,"ActionArc System Works,Arc System WorksArc System Works","ActionFighting,Anime,2D Fighter,Great Soundtrack,Action,Arcade,Multiplayer,e-sports,Singleplayer,Story Rich,2.5D,Competitive,Cute,Visual NovelArc System Works","ActionFighting,Anime,2D Fighter,Great Soundtrack,Action,Arcade,Multiplayer,e-sports,Singleplayer,Story Rich,2.5D,Competitive,Cute,Visual NovelSingle-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","ActionArc System Works,Arc System WorksArc System WorksSingle-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Interstellar Marines,Zero Point Software,"Zero Point Software,Zero Point Software","Early Access,Action,FPS,Indie,Tactical,Co-op,Multiplayer,Sci-fi,Shooter,Horror,First-Person,Atmospheric,Simulation,Early Access,Online Co-Op,Singleplayer,Space,Team-Based,RPG,Adventure","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,RPG,Simulation,Early Access",interstellarmarines,"Action,Indie,RPG,Simulation,Early AccessZero Point Software,Zero Point SoftwareZero Point Software","Action,Indie,RPG,Simulation,Early AccessEarly Access,Action,FPS,Indie,Tactical,Co-op,Multiplayer,Sci-fi,Shooter,Horror,First-Person,Atmospheric,Simulation,Early Access,Online Co-Op,Singleplayer,Space,Team-Based,RPG,AdventureZero Point Software","Action,Indie,RPG,Simulation,Early AccessEarly Access,Action,FPS,Indie,Tactical,Co-op,Multiplayer,Sci-fi,Shooter,Horror,First-Person,Atmospheric,Simulation,Early Access,Online Co-Op,Singleplayer,Space,Team-Based,RPG,AdventureSingle-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,RPG,Simulation,Early AccessZero Point Software,Zero Point SoftwareZero Point SoftwareSingle-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards"
Q.U.B.E: Director's Cut,Toxic Games,"Toxic Games,Toxic Games","Puzzle,Indie,First-Person,Action,Adventure,Sci-fi,Singleplayer,Physics,Space,Atmospheric,Platformer,Science,VR,Soundtrack,Strategy,3D,Classic,Difficult","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure,Indie",qubedirectorscut,"Action,Adventure,IndieToxic Games,Toxic GamesToxic Games","Action,Adventure,IndiePuzzle,Indie,First-Person,Action,Adventure,Sci-fi,Singleplayer,Physics,Space,Atmospheric,Platformer,Science,VR,Soundtrack,Strategy,3D,Classic,DifficultToxic Games","Action,Adventure,IndiePuzzle,Indie,First-Person,Action,Adventure,Sci-fi,Singleplayer,Physics,Space,Atmospheric,Platformer,Science,VR,Soundtrack,Strategy,3D,Classic,DifficultSingle-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure,IndieToxic Games,Toxic GamesToxic GamesSingle-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards"
Aperture Tag: The Paint Gun Testing Initiative,Aperture Tag Team,"Aperture Tag Team,Aperture Tag Team","Puzzle,Mod,Indie,Adventure,Action,First-Person,Singleplayer,Great Soundtrack,Casual,Sci-fi,Co-op,FPS,Science,Funny,Parkour,Masterpiece,Comedy,Level Editor,Atmospheric,Strategy","Single-player,Co-op,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Includes Source SDK,Commentary available","Action,Adventure,Casual,Indie",aperturetagthepaintguntestinginitiative,"Action,Adventure,Casual,IndieAperture Tag Team,Aperture Tag TeamAperture Tag Team","Action,Adventure,Casual,IndiePuzzle,Mod,Indie,Adventure,Action,First-Person,Singleplayer,Great Soundtrack,Casual,Sci-fi,Co-op,FPS,Science,Funny,Parkour,Masterpiece,Comedy,Level Editor,Atmospheric,StrategyAperture Tag Team","Action,Adventure,Casual,IndiePuzzle,Mod,Indie,Adventure,Action,First-Person,Singleplayer,Great Soundtrack,Casual,Sci-fi,Co-op,FPS,Science,Funny,Parkour,Masterpiece,Comedy,Level Editor,Atmospheric,StrategySingle-player,Co-op,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Includes Source SDK,Commentary available","Action,Adventure,Casual,IndieAperture Tag Team,Aperture Tag TeamAperture Tag TeamSingle-player,Co-op,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Includes Source SDK,Commentary available"
Ms. Splosion Man,Twisted Pixel Games,"Xbox Game Studios,Xbox Game Studios","Action,Indie,Platformer,Female Protagonist,Co-op,Comedy,Local Co-Op","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Indie",mssplosionman,"Action,IndieXbox Game Studios,Xbox Game StudiosTwisted Pixel Games","Action,IndieAction,Indie,Platformer,Female Protagonist,Co-op,Comedy,Local Co-OpTwisted Pixel Games","Action,IndieAction,Indie,Platformer,Female Protagonist,Co-op,Comedy,Local Co-OpSingle-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,IndieXbox Game Studios,Xbox Game StudiosTwisted Pixel GamesSingle-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
Big Pharma,Twice Circled,"Positech Games,Positech Games","Management,Simulation,Strategy,Puzzle,Indie,Economy,Singleplayer,Automation,Isometric,Casual,Resource Management,Base Building,2D,Sandbox,Moddable,Family Friendly,Great Soundtrack","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy",bigpharma,"Indie,Simulation,StrategyPositech Games,Positech GamesTwice Circled","Indie,Simulation,StrategyManagement,Simulation,Strategy,Puzzle,Indie,Economy,Singleplayer,Automation,Isometric,Casual,Resource Management,Base Building,2D,Sandbox,Moddable,Family Friendly,Great SoundtrackTwice Circled","Indie,Simulation,StrategyManagement,Simulation,Strategy,Puzzle,Indie,Economy,Singleplayer,Automation,Isometric,Casual,Resource Management,Base Building,2D,Sandbox,Moddable,Family Friendly,Great SoundtrackSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,StrategyPositech Games,Positech GamesTwice CircledSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Project CARS,Slightly Mad Studios,"Slightly Mad Studios,BANDAI NAMCO Entertainment,Slightly Mad Studios,BANDAI NAMCO Entertainment","Racing,Simulation,Driving,Realistic,Multiplayer,Sports,Singleplayer,Physics,Atmospheric,VR,First-Person,Action,Controller,Open World,Third Person,Co-op,Arcade,TrackIR,Masterpiece,Indie","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards","Racing,Simulation,Sports",projectcars,"Racing,Simulation,SportsSlightly Mad Studios,BANDAI NAMCO Entertainment,Slightly Mad Studios,BANDAI NAMCO EntertainmentSlightly Mad Studios","Racing,Simulation,SportsRacing,Simulation,Driving,Realistic,Multiplayer,Sports,Singleplayer,Physics,Atmospheric,VR,First-Person,Action,Controller,Open World,Third Person,Co-op,Arcade,TrackIR,Masterpiece,IndieSlightly Mad Studios","Racing,Simulation,SportsRacing,Simulation,Driving,Realistic,Multiplayer,Sports,Singleplayer,Physics,Atmospheric,VR,First-Person,Action,Controller,Open World,Third Person,Co-op,Arcade,TrackIR,Masterpiece,IndieSingle-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards","Racing,Simulation,SportsSlightly Mad Studios,BANDAI NAMCO Entertainment,Slightly Mad Studios,BANDAI NAMCO EntertainmentSlightly Mad StudiosSingle-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards"
Geometry Wars™ 3: Dimensions Evolved,"Lucid Games,Aspyr (Mac & Linux)","Sierra,Activision,Aspyr (Mac, Linux),Sierra,Activision,Aspyr (Mac, Linux)","Arcade,Action,Twin Stick Shooter,Shoot 'Em Up,Bullet Hell,Great Soundtrack,Local Co-Op,Local Multiplayer,Shooter,Multiplayer,Difficult,Retro,Co-op","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards",Action,geometrywars3dimensionsevolved,"ActionSierra,Activision,Aspyr (Mac, Linux),Sierra,Activision,Aspyr (Mac, Linux)Lucid Games,Aspyr (Mac & Linux)","ActionArcade,Action,Twin Stick Shooter,Shoot 'Em Up,Bullet Hell,Great Soundtrack,Local Co-Op,Local Multiplayer,Shooter,Multiplayer,Difficult,Retro,Co-opLucid Games,Aspyr (Mac & Linux)","ActionArcade,Action,Twin Stick Shooter,Shoot 'Em Up,Bullet Hell,Great Soundtrack,Local Co-Op,Local Multiplayer,Shooter,Multiplayer,Difficult,Retro,Co-opSingle-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards","ActionSierra,Activision,Aspyr (Mac, Linux),Sierra,Activision,Aspyr (Mac, Linux)Lucid Games,Aspyr (Mac & Linux)Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards"
Mabinogi,NEXON Korea Corp.,"Nexon America Inc.,Nexon America Inc.","Anime,Free to Play,Massively Multiplayer,MMORPG,RPG,Casual,Action,Simulation,Adventure,Fantasy,Open World,Multiplayer,Sandbox,Action RPG,Cute,Nudity,Character Customization,JRPG","Single-player,Multi-player,MMO,Co-op,Steam Trading Cards","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation",mabinogi,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,SimulationNexon America Inc.,Nexon America Inc.NEXON Korea Corp.","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,SimulationAnime,Free to Play,Massively Multiplayer,MMORPG,RPG,Casual,Action,Simulation,Adventure,Fantasy,Open World,Multiplayer,Sandbox,Action RPG,Cute,Nudity,Character Customization,JRPGNEXON Korea Corp.","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,SimulationAnime,Free to Play,Massively Multiplayer,MMORPG,RPG,Casual,Action,Simulation,Adventure,Fantasy,Open World,Multiplayer,Sandbox,Action RPG,Cute,Nudity,Character Customization,JRPGSingle-player,Multi-player,MMO,Co-op,Steam Trading Cards","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,SimulationNexon America Inc.,Nexon America Inc.NEXON Korea Corp.Single-player,Multi-player,MMO,Co-op,Steam Trading Cards"
Valdis Story: Abyssal City,Endlessfluff Games,"Endlessfluff Games,Endlessfluff Games","Metroidvania,Action,Platformer,RPG,Indie,2D,Difficult,Great Soundtrack,Singleplayer,Exploration,Fantasy,Female Protagonist,Action RPG,Side Scroller,Kickstarter,Adventure,Story Rich,Beat 'em up,Anime,GameMaker","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Indie,RPG",valdisstoryabyssalcity,"Action,Indie,RPGEndlessfluff Games,Endlessfluff GamesEndlessfluff Games","Action,Indie,RPGMetroidvania,Action,Platformer,RPG,Indie,2D,Difficult,Great Soundtrack,Singleplayer,Exploration,Fantasy,Female Protagonist,Action RPG,Side Scroller,Kickstarter,Adventure,Story Rich,Beat 'em up,Anime,GameMakerEndlessfluff Games","Action,Indie,RPGMetroidvania,Action,Platformer,RPG,Indie,2D,Difficult,Great Soundtrack,Singleplayer,Exploration,Fantasy,Female Protagonist,Action RPG,Side Scroller,Kickstarter,Adventure,Story Rich,Beat 'em up,Anime,GameMakerSingle-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Indie,RPGEndlessfluff Games,Endlessfluff GamesEndlessfluff GamesSingle-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards"
Blood: One Unit Whole Blood,Monolith Productions,"Atari,Atari","FPS,Classic,Horror,Action,Gore,Shooter,1990's,Masterpiece,Adventure,Retro,Old School,Dark,Zombies,Singleplayer,Atmospheric,Difficult,First-Person,Blood,Gothic,2.5D",Single-player,"Action,Adventure",bloodoneunitwholeblood,"Action,AdventureAtari,AtariMonolith Productions","Action,AdventureFPS,Classic,Horror,Action,Gore,Shooter,1990's,Masterpiece,Adventure,Retro,Old School,Dark,Zombies,Singleplayer,Atmospheric,Difficult,First-Person,Blood,Gothic,2.5DMonolith Productions","Action,AdventureFPS,Classic,Horror,Action,Gore,Shooter,1990's,Masterpiece,Adventure,Retro,Old School,Dark,Zombies,Singleplayer,Atmospheric,Difficult,First-Person,Blood,Gothic,2.5DSingle-player","Action,AdventureAtari,AtariMonolith ProductionsSingle-player"
FOTONICA,Santa Ragione,"Santa Ragione,Santa Ragione","Indie,Action,First-Person,Abstract,Runner,Great Soundtrack,Local Multiplayer,Parkour,Minimalist,Platformer,Arcade,Cult Classic","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats,Steam Leaderboards","Action,Indie",fotonica,"Action,IndieSanta Ragione,Santa RagioneSanta Ragione","Action,IndieIndie,Action,First-Person,Abstract,Runner,Great Soundtrack,Local Multiplayer,Parkour,Minimalist,Platformer,Arcade,Cult ClassicSanta Ragione","Action,IndieIndie,Action,First-Person,Abstract,Runner,Great Soundtrack,Local Multiplayer,Parkour,Minimalist,Platformer,Arcade,Cult ClassicSingle-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats,Steam Leaderboards","Action,IndieSanta Ragione,Santa RagioneSanta RagioneSingle-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats,Steam Leaderboards"
The Swapper,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano","Facepalm Games,Facepalm Games","Puzzle,Sci-fi,Atmospheric,Indie,Space,Platformer,Puzzle-Platformer,Singleplayer,Adventure,Great Soundtrack,2D,Psychological Horror,Metroidvania,Exploration,Mystery,Story Rich,Action,Side Scroller,Difficult,Masterpiece","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,Indie",theswapper,"Action,Adventure,IndieFacepalm Games,Facepalm GamesOlli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano","Action,Adventure,IndiePuzzle,Sci-fi,Atmospheric,Indie,Space,Platformer,Puzzle-Platformer,Singleplayer,Adventure,Great Soundtrack,2D,Psychological Horror,Metroidvania,Exploration,Mystery,Story Rich,Action,Side Scroller,Difficult,MasterpieceOlli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano","Action,Adventure,IndiePuzzle,Sci-fi,Atmospheric,Indie,Space,Platformer,Puzzle-Platformer,Singleplayer,Adventure,Great Soundtrack,2D,Psychological Horror,Metroidvania,Exploration,Mystery,Story Rich,Action,Side Scroller,Difficult,MasterpieceSingle-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,IndieFacepalm Games,Facepalm GamesOlli Harjola, Otto Hantula, Tom Jubert, Carlo CastellanoSingle-player,Steam Achievements,Full controller support,Steam Trading Cards"
